127.0.0.1 - - [18/Jan/2023:12:51:18 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:53:14 +0530] "GET /fonts/fontawesome-webfont.woff?v=4.3.0 HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:53:14 +0530] "GET /fonts/fontawesome-webfont.ttf?v=4.3.0 HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:56:13 +0530] "GET /online/aboutus.jsp HTTP/1.1" 200 4382
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:56:26 +0530] "GET /online/aboutus.jsp HTTP/1.1" 200 4382
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:56:27 +0530] "GET /online/aboutus.jsp HTTP/1.1" 200 4382
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:56:45 +0530] "GET /online/afterlogin1.jsp HTTP/1.1" 200 2694
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:56:46 +0530] "GET /online/assets/images/course-video.mp4 HTTP/1.1" 206 6129513
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:56:46 +0530] "GET /fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:56:46 +0530] "GET /fonts/fontawesome-webfont.woff?v=4.3.0 HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:56:46 +0530] "GET /fonts/fontawesome-webfont.ttf?v=4.3.0 HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:58:43 +0530] "GET /online/afterlogin1.jsp HTTP/1.1" 200 2884
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:58:45 +0530] "GET /fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:58:45 +0530] "GET /fonts/fontawesome-webfont.woff?v=4.3.0 HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:58:45 +0530] "GET /fonts/fontawesome-webfont.ttf?v=4.3.0 HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:58:46 +0530] "GET /online/afterlogin1.jsp HTTP/1.1" 200 2884
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:58:48 +0530] "GET /fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:58:48 +0530] "GET /fonts/fontawesome-webfont.woff?v=4.3.0 HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:58:48 +0530] "GET /fonts/fontawesome-webfont.ttf?v=4.3.0 HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:59:04 +0530] "GET /online/afterlogin1.jsp HTTP/1.1" 200 2884
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:59:06 +0530] "GET /fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:59:06 +0530] "GET /fonts/fontawesome-webfont.woff?v=4.3.0 HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:59:06 +0530] "GET /fonts/fontawesome-webfont.ttf?v=4.3.0 HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:59:13 +0530] "GET /online/afterlogin1.jsp HTTP/1.1" 200 2884
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:59:14 +0530] "GET /fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:59:14 +0530] "GET /fonts/fontawesome-webfont.woff?v=4.3.0 HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [18/Jan/2023:12:59:15 +0530] "GET /fonts/fontawesome-webfont.ttf?v=4.3.0 HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:00:25 +0530] "GET /online/afterlogin1.jsp HTTP/1.1" 200 2884
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:00:27 +0530] "GET /fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:00:27 +0530] "GET /fonts/fontawesome-webfont.woff?v=4.3.0 HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:00:27 +0530] "GET /fonts/fontawesome-webfont.ttf?v=4.3.0 HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:00:29 +0530] "GET /online/afterlogin1.jsp HTTP/1.1" 200 2884
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:00:31 +0530] "GET /fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:00:31 +0530] "GET /fonts/fontawesome-webfont.woff?v=4.3.0 HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:00:31 +0530] "GET /fonts/fontawesome-webfont.ttf?v=4.3.0 HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:01:14 +0530] "GET /online/aboutus.jsp HTTP/1.1" 200 4382
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:01:27 +0530] "GET /online/afterlogin1.jsp HTTP/1.1" 200 2884
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:01:29 +0530] "GET /fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:01:29 +0530] "GET /fonts/fontawesome-webfont.woff?v=4.3.0 HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:01:29 +0530] "GET /fonts/fontawesome-webfont.ttf?v=4.3.0 HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:04:41 +0530] "GET /online/afterlogin1.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:04:41 +0530] "GET /online/homepage.jsp HTTP/1.1" 200 2494
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:04:41 +0530] "GET /fonts/fontawesome-webfont.eot? HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:04:41 +0530] "GET /fonts/fontawesome-webfont.woff?v=4.3.0 HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:04:41 +0530] "GET /fonts/fontawesome-webfont.ttf?v=4.3.0 HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:04:41 +0530] "GET /online/assets/images/course-video.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:04:54 +0530] "GET /online/afterlogin1.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:04:54 +0530] "GET /online/homepage.jsp HTTP/1.1" 200 2494
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:04:54 +0530] "GET /online/assets/images/course-video.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:04:54 +0530] "GET /fonts/fontawesome-webfont.eot? HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:04:54 +0530] "GET /fonts/fontawesome-webfont.woff?v=4.3.0 HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:04:54 +0530] "GET /fonts/fontawesome-webfont.ttf?v=4.3.0 HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:04:54 +0530] "GET /online/assets/images/course-video.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:04:59 +0530] "GET /online/homepage.jsp HTTP/1.1" 200 2494
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:05:00 +0530] "GET /fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:05:00 +0530] "GET /fonts/fontawesome-webfont.woff?v=4.3.0 HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:05:00 +0530] "GET /fonts/fontawesome-webfont.ttf?v=4.3.0 HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:05:04 +0530] "GET /online/InsertAdmin.jsp HTTP/1.1" 200 5972
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:05:04 +0530] "GET /online/InsertAdmin.jsp HTTP/1.1" 200 5972
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:05:11 +0530] "GET /online/loginadmin?a_id=A001&pass=1234&name=Ravi HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:05:11 +0530] "GET /online/afterlogin1.jsp HTTP/1.1" 200 2891
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:05:13 +0530] "GET /fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:05:13 +0530] "GET /fonts/fontawesome-webfont.woff?v=4.3.0 HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:05:13 +0530] "GET /fonts/fontawesome-webfont.ttf?v=4.3.0 HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:05:14 +0530] "GET /online/afterlogin1.jsp HTTP/1.1" 200 2891
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:05:18 +0530] "GET /fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:05:18 +0530] "GET /fonts/fontawesome-webfont.woff?v=4.3.0 HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:05:18 +0530] "GET /fonts/fontawesome-webfont.ttf?v=4.3.0 HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:05:53 +0530] "GET /online/afterlogin1.jsp HTTP/1.1" 200 2695
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:05:55 +0530] "GET /fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:05:55 +0530] "GET /fonts/fontawesome-webfont.woff?v=4.3.0 HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:05:55 +0530] "GET /fonts/fontawesome-webfont.ttf?v=4.3.0 HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:05:56 +0530] "GET /online/aboutus.jsp HTTP/1.1" 200 4382
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:05:59 +0530] "GET /fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:11:32 +0530] "GET /online/aboutus.jsp HTTP/1.1" 200 4382
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:11:32 +0530] "GET /online/aboutus.jsp HTTP/1.1" 200 4382
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:11:33 +0530] "GET /online/aboutus.jsp HTTP/1.1" 200 4382
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:11:33 +0530] "GET /online/aboutus.jsp HTTP/1.1" 200 4382
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:11:33 +0530] "GET /online/aboutus.jsp HTTP/1.1" 200 4382
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:11:34 +0530] "GET /online/aboutus.jsp HTTP/1.1" 200 4382
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:11:58 +0530] "GET /online/edit?tname=Hello+Everyone&btn1=edit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:11:58 +0530] "GET /online/aboutus.jsp HTTP/1.1" 200 4382
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:13:35 +0530] "GET /online/aboutus.jsp HTTP/1.1" 200 4411
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:13:35 +0530] "GET /online/download.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:13:52 +0530] "GET /online/aboutus.jsp HTTP/1.1" 200 4411
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:14:28 +0530] "GET /online/aboutus.jsp HTTP/1.1" 200 4438
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:15:02 +0530] "GET /online/aboutus.jsp HTTP/1.1" 200 4468
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:15:03 +0530] "GET /online/afterlogin1.jsp HTTP/1.1" 200 2695
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:15:06 +0530] "GET /fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:15:06 +0530] "GET /fonts/fontawesome-webfont.woff?v=4.3.0 HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:15:06 +0530] "GET /fonts/fontawesome-webfont.ttf?v=4.3.0 HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:16:05 +0530] "GET /online/afterlogin1.jsp HTTP/1.1" 200 2303
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:16:07 +0530] "GET /fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:16:07 +0530] "GET /fonts/fontawesome-webfont.woff?v=4.3.0 HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:16:07 +0530] "GET /fonts/fontawesome-webfont.ttf?v=4.3.0 HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:16:09 +0530] "GET /online/homepage.jsp HTTP/1.1" 200 2494
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:16:09 +0530] "GET /fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:16:09 +0530] "GET /fonts/fontawesome-webfont.woff?v=4.3.0 HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:16:09 +0530] "GET /fonts/fontawesome-webfont.ttf?v=4.3.0 HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:16:30 +0530] "GET /online/aboutus.jsp HTTP/1.1" 200 4468
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:16:35 +0530] "GET /online/afterlogin1.jsp HTTP/1.1" 200 2303
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:16:37 +0530] "GET /fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:16:37 +0530] "GET /fonts/fontawesome-webfont.woff?v=4.3.0 HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:16:37 +0530] "GET /fonts/fontawesome-webfont.ttf?v=4.3.0 HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:16:51 +0530] "GET /online/homepage.jsp HTTP/1.1" 200 2494
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:16:51 +0530] "GET /fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:16:51 +0530] "GET /fonts/fontawesome-webfont.woff?v=4.3.0 HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:16:51 +0530] "GET /fonts/fontawesome-webfont.ttf?v=4.3.0 HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:16:59 +0530] "GET /online/InsertAdmin.jsp HTTP/1.1" 200 5972
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:16:59 +0530] "GET /online/InsertAdmin.jsp HTTP/1.1" 200 5972
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:17:07 +0530] "GET /online/loginadmin?a_id=A001&pass=1234&name=Ravi HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:17:07 +0530] "GET /online/afterlogin1.jsp HTTP/1.1" 200 2303
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:17:09 +0530] "GET /fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:17:09 +0530] "GET /fonts/fontawesome-webfont.woff?v=4.3.0 HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:17:09 +0530] "GET /fonts/fontawesome-webfont.ttf?v=4.3.0 HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:18:06 +0530] "GET /online/admindash.jsp HTTP/1.1" 200 7404
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:18:07 +0530] "GET /online/img/favicon.ico HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:18:18 +0530] "GET /online/afterlogin.jsp HTTP/1.1" 200 2447
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:18:20 +0530] "GET /fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:18:20 +0530] "GET /fonts/fontawesome-webfont.woff?v=4.3.0 HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:18:20 +0530] "GET /fonts/fontawesome-webfont.ttf?v=4.3.0 HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:36:03 +0530] "GET /online/afterlogin1.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:36:03 +0530] "GET /online/homepage.jsp HTTP/1.1" 200 2494
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:36:03 +0530] "GET /online/assets/images/course-video.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:36:03 +0530] "GET /fonts/fontawesome-webfont.eot? HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:36:03 +0530] "GET /fonts/fontawesome-webfont.woff?v=4.3.0 HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:36:03 +0530] "GET /fonts/fontawesome-webfont.ttf?v=4.3.0 HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:36:03 +0530] "GET /online/assets/images/course-video.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:36:09 +0530] "GET /online/InsertUser.jsp HTTP/1.1" 200 5955
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:36:09 +0530] "GET /online/style.css HTTP/1.1" 200 2352
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:36:09 +0530] "GET /online/css/bootstrap.min.css HTTP/1.1" 200 140936
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:36:09 +0530] "GET /online/css/reset.css HTTP/1.1" 200 1098
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:36:09 +0530] "GET /online/css/style.css HTTP/1.1" 200 6036
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:36:09 +0530] "GET /online/css/responsive.css HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:36:09 +0530] "GET /online/js/jquery.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:36:09 +0530] "GET /online/js/popper.min.js HTTP/1.1" 200 20337
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:36:09 +0530] "GET /online/js/bootstrap.min.js HTTP/1.1" 200 58313
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:36:10 +0530] "GET /online/images/slider-item-3.jpg HTTP/1.1" 200 113976
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:36:31 +0530] "GET /online/assets/images/course-video.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:36:31 +0530] "GET /fonts/fontawesome-webfont.eot? HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Jan/2023:13:36:31 +0530] "GET /fonts/fontawesome-webfont.woff?v=4.3.0 HTTP/1.1" 404 785
