127.0.0.1 - - [04/Feb/2023:14:51:42 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:52:29 +0530] "GET /online/users.jsp HTTP/1.1" 404 739
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:52:34 +0530] "GET /online/insertsubject.jsp HTTP/1.1" 200 1359
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:52:34 +0530] "GET /online/8.jpg HTTP/1.1" 200 1362776
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:52:42 +0530] "GET /online/exam.jsp?ones=java HTTP/1.1" 200 1789
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:52:42 +0530] "GET /online/27.jpg HTTP/1.1" 200 182418
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:52:47 +0530] "GET /online/search.jsp HTTP/1.1" 200 751
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:52:47 +0530] "GET /online/images%20(1).jpg HTTP/1.1" 200 4047
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:53:07 +0530] "GET /online/searchone.jsp?num= HTTP/1.1" 200 597
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:53:07 +0530] "GET /online/question.jpg HTTP/1.1" 200 16539
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:53:07 +0530] "GET /online/download.png HTTP/1.1" 200 2024
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:53:08 +0530] "GET /online/exam.jsp HTTP/1.1" 200 1789
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:53:15 +0530] "GET /online/exam.jsp?ones=javascript HTTP/1.1" 200 1789
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:53:28 +0530] "GET /online/exam.jsp?ones=html HTTP/1.1" 200 1789
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:53:35 +0530] "GET /online/users.html HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:53:38 +0530] "GET /online/afterlogin1.jsp HTTP/1.1" 200 2313
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:53:38 +0530] "GET /fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:53:39 +0530] "GET /online/afterlogin1.jsp HTTP/1.1" 200 2313
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:53:40 +0530] "GET /fonts/fontawesome-webfont.woff?v=4.3.0 HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:53:40 +0530] "GET /fonts/fontawesome-webfont.ttf?v=4.3.0 HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:53:42 +0530] "GET /online/Logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:53:42 +0530] "GET /online/homepage.jsp HTTP/1.1" 200 2305
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:53:42 +0530] "GET /fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:53:42 +0530] "GET /fonts/fontawesome-webfont.woff?v=4.3.0 HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:53:42 +0530] "GET /fonts/fontawesome-webfont.ttf?v=4.3.0 HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:53:44 +0530] "GET /online/afterlogin1.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:53:44 +0530] "GET /online/homepage.jsp HTTP/1.1" 200 2305
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:53:44 +0530] "GET /fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:53:44 +0530] "GET /fonts/fontawesome-webfont.woff?v=4.3.0 HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:53:44 +0530] "GET /fonts/fontawesome-webfont.ttf?v=4.3.0 HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:53:46 +0530] "GET /online/homepage.jsp HTTP/1.1" 200 2305
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:53:46 +0530] "GET /fonts/fontawesome-webfont.ttf?v=4.3.0 HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:54:03 +0530] "GET /online/InsertAdmin.jsp HTTP/1.1" 200 5972
0:0:0:0:0:0:0:1 - - [04/Feb/2023:14:54:03 +0530] "GET /online/InsertAdmin.jsp HTTP/1.1" 200 5972
0:0:0:0:0:0:0:1 - - [04/Feb/2023:15:38:22 +0530] "GET /online/InsertAdmin.jsp HTTP/1.1" 200 5972
